feature,importance_mean,importance_std
event_client_comment_length,0.031176421720084994,0.003921933152538409
price_global_discount,0.01266978368532063,0.002414573273109194
option_mur_floral_style,0.00881870053763201,0.000996872212261278
price_option_discount,0.002943210300922438,0.0006645212556422239
price_product_discount,0.0017466795054779036,0.0008624138903939218
event_lead_time_days,0.0017222527895202032,0.0014862066669774447
option_duration_hours,0.0014226637410428185,0.000768163416099018
price_proposed_to_gross_ratio,0.0012856654519155485,0.0005241705391923702
option_mur_floral,0.0011553919338926737,0.0005462575249697827
option_magnets_quantity,0.0009757324921612874,0.00045236229517590384
option_count,0.0008599576180374699,0.0001691475278412455
price_total_declared_discount,0.0007440518287438504,0.0004462914724299863
event_postal_code,0.000711356408247394,0.0010843995937700472
event_weekday_iso,0.0006598771384656102,0.0005375193930652702
request_source,0.0005085778358334438,0.00034191258806223795
event_is_weekend,0.0004959176548784451,0.0004351108597132133
product_miroirbooth,0.0003877173195387558,0.0002896671878690838
option_phonebooth,0.0003506988727792343,0.000231807961562528
price_proposed_minus_gross,0.0002873210077906953,0.00031559212780042173
event_city,8.137475277154166e-05,0.0004412421725012439
option_photographe_voguebooth,6.525776569700145e-05,2.369890686553808e-05
request_is_business,5.6652968400364156e-05,7.315706404602318e-05
option_panneau_bienvenue,4.110977106086544e-05,3.331026464907233e-05
prior_request_count,0.0,0.0
product_ipadbooth,0.0,0.0
option_holo_3d,0.0,0.0
enrichment_address_available,0.0,0.0
prior_signed_count,0.0,0.0
prior_is_returning_client,0.0,0.0
option_panneau_fontaine,0.0,0.0
option_magnets_simple_quantity,0.0,0.0
option_porte_cles_quantity,-3.469446951953614e-18,9.179293821800323e-18
option_video_livre_or,-3.469446951953614e-18,9.179293821800323e-18
option_fond_360,-1.5245138859212859e-05,3.6191122211683176e-05
event_has_client_comment,-2.490427318144195e-05,5.2576445684967325e-05
product_airbooth,-2.6142736688227614e-05,1.0049930625059697e-05
product_photobooth,-3.5665097893902015e-05,0.00015998734461312585
option_decor_voguebooth,-4.263314668774554e-05,7.703727369047038e-05
option_impression_voguebooth,-8.754131328550518e-05,2.87742836190563e-05
product_count,-0.000127897687843926,0.00022618531840067142
price_proposed,-0.00014094569489908615,0.0004823895451958594
price_catalog_gross,-0.00016238299573905976,0.000285483057117083
option_livre_or,-0.0001852200500800233,0.00012540755878301223
product_voguebooth,-0.0001960186300207084,0.0003202574807659747
product_videobooth,-0.00035291916389630987,0.00045858061733471003
option_delivery,-0.00045808636390325813,0.0006248888973442707
event_venue_anonymous_key,-0.0006120861735654515,0.0002679907603084333
event_quarter,-0.000748853590248167,0.0003595426920085791
event_month,-0.0007656172427056261,0.00032415118496004284
